"Date","Subject","Group","Behavior","Modifiers","Day_occurrences","Day_duration","Day_visible","Percent_time_visible"
2025-05-05,"Broken beak","Broken beak","Feed","Auto-|Successful|None",4,NA,46.04,NA
2025-05-05,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",9,NA,46.04,NA
2025-05-05,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",1,NA,46.04,NA
2025-05-05,"Broken beak","Broken beak","Foraging","",5,46.04,46.04,1
2025-05-05,"No focal subject","No focal","Close proximity","Broken beak|Other crow #1",1,4.6,0,NA
2025-05-05,"No focal subject","No focal","Close proximity","Mutual|Mutual",2,38.92,0,NA
2025-05-05,"No focal subject","No focal","Close proximity","Other crow #1|Broken beak",1,1.241,0,NA
2025-05-05,"No focal subject","No focal","Unclear video","",13,77.626,0,NA
2025-05-05,"Other crow #1","Other crows","Feed","Auto-|Successful|None",28,NA,678.192,NA
2025-05-05,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",55,NA,678.192,NA
2025-05-05,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",54,NA,678.192,NA
2025-05-05,"Other crow #1","Other crows","Foraging","",12,673.552,678.192,0.993158279661217
2025-05-05,"Other crow #1","Other crows","Preen","Auto-|None",2,4.64,678.192,0.00684172033878312
2025-05-08,"Broken beak","Broken beak","Alert","",1,5.64,45.92,0.122822299651568
2025-05-08,"Broken beak","Broken beak","Feed","Auto-|Successful|None",3,NA,45.92,NA
2025-05-08,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",1,NA,45.92,NA
2025-05-08,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",5,NA,45.92,NA
2025-05-08,"Broken beak","Broken beak","Foraging","",1,40.28,45.92,0.877177700348432
2025-05-08,"No focal subject","No focal","Unclear video","",1,2.48,0,NA
2025-05-14,"Broken beak","Broken beak","Alert","",1,0.96,86.389,0.0111125259002882
2025-05-14,"Broken beak","Broken beak","Beg call","",7,NA,86.389,NA
2025-05-14,"Broken beak","Broken beak","Brief flight","",1,0.159,86.389,0.00184051210223524
2025-05-14,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",4,NA,86.389,NA
2025-05-14,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",3,NA,86.389,NA
2025-05-14,"Broken beak","Broken beak","Foraging","",6,33.717,86.389,0.390292745604186
2025-05-14,"Broken beak","Broken beak","Open mouth","",17,NA,86.389,NA
2025-05-14,"Broken beak","Broken beak","Resting","",2,2.439,86.389,0.0282327611154198
2025-05-14,"Broken beak","Broken beak","Wing flutter","",45,NA,86.389,NA
2025-05-14,"No focal subject","No focal","Begging session","Broken beak,Other crow #1",9,49.114,0,NA
2025-05-14,"No focal subject","No focal","Close proximity","Other crow #1|Broken beak",6,61.88,0,NA
2025-05-14,"No focal subject","No focal","Unclear video","",35,157.748,0,NA
2025-05-14,"Other crow #1","Other crows","Alert","",4,8.2,748.421,0.0109564002079044
2025-05-14,"Other crow #1","Other crows","Feed","Allo-|Successful|Broken beak",1,NA,748.421,NA
2025-05-14,"Other crow #1","Other crows","Feed","Auto-|Successful|None",117,NA,748.421,NA
2025-05-14,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",38,NA,748.421,NA
2025-05-14,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",14,NA,748.421,NA
2025-05-14,"Other crow #1","Other crows","Foraging","",38,691.107,748.421,0.923420107132216
2025-05-15,"No focal subject","No focal","Unclear video","",23,66.564,0,NA
2025-05-15,"Other crow #1","Other crows","Alert","",20,98.6,1295.101,0.076133058348345
2025-05-15,"Other crow #1","Other crows","Feed","Auto-|Successful|None",87,NA,1295.101,NA
2025-05-15,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",82,NA,1295.101,NA
2025-05-15,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",37,NA,1295.101,NA
2025-05-15,"Other crow #1","Other crows","Foraging","",38,1196.501,1295.101,0.923866941651655
2025-05-23,"Broken beak","Broken beak","Alert","",6,62.96,1059.548,0.0594215646671977
2025-05-23,"Broken beak","Broken beak","Feed","Auto-|Successful|None",29,NA,1059.548,NA
2025-05-23,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",18,NA,1059.548,NA
2025-05-23,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",59,NA,1059.548,NA
2025-05-23,"Broken beak","Broken beak","Foraging","",33,996.588,1059.548,0.940578435332802
2025-05-23,"Broken beak","Broken beak","Vocal","",32,NA,1059.548,NA
2025-05-23,"No focal subject","No focal","Close proximity","Broken beak|Other crow #1",1,14.32,0,NA
2025-05-23,"No focal subject","No focal","Close proximity","Mutual|Mutual",5,56.679,0,NA
2025-05-23,"No focal subject","No focal","Close proximity","Other crow #1|Broken beak",2,54.12,0,NA
2025-05-23,"No focal subject","No focal","Unclear video","",55,283.369,0,NA
2025-05-23,"Other crow #1","Other crows","Alert","",7,56.279,806.291,0.0697998613403846
2025-05-23,"Other crow #1","Other crows","Brief flight","",3,6,806.291,0.00744148204556419
2025-05-23,"Other crow #1","Other crows","Feed","Auto-|Successful|None",30,NA,806.291,NA
2025-05-23,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",26,NA,806.291,NA
2025-05-23,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",3,NA,806.291,NA
2025-05-23,"Other crow #1","Other crows","Foraging","",40,661.877,806.291,0.820890968645315
2025-05-23,"Other crow #1","Other crows","Preen","Auto-|None",4,16.8,806.291,0.0208361497275797
2025-05-23,"Other crow #1","Other crows","Resting","",2,65.335,806.291,0.0810315382411561
2025-05-23,"Other crow #2","Other crows","Feed","Auto-|Successful|None",1,NA,87.278,NA
2025-05-23,"Other crow #2","Other crows","Feed","Auto-|Unknown|None",9,NA,87.278,NA
2025-05-23,"Other crow #2","Other crows","Foraging","",6,87.278,87.278,1
2025-05-30,"Broken beak","Broken beak","Alert","",6,16.144,822.986,0.0196163725749891
2025-05-30,"Broken beak","Broken beak","Beg call","",2,NA,822.986,NA
2025-05-30,"Broken beak","Broken beak","Brief flight","",2,3.48,822.986,0.00422850449460866
2025-05-30,"Broken beak","Broken beak","Feed","Auto-|Successful|None",7,NA,822.986,NA
2025-05-30,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",39,NA,822.986,NA
2025-05-30,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",22,NA,822.986,NA
2025-05-30,"Broken beak","Broken beak","Foraging","",28,746.378,822.986,0.906914576918684
