"Date","Primary_Bird","Video_Num","Subject","Behavior","Modifiers","Vid_occurrences","Vid_duration","Vid_visible","Day_visible","Day_occurrences","Day_duration","Rate_per_min_vid","Rate_per_min_day","Percent_time_visible_vid","Percent_time_visible_day"
2025-07-01,"BB","1","No focal subject","Close proximity","Broken beak|Other crow #1",1,13.04,NA,NA,2,42.84,NA,NA,NA,NA
2025-07-01,"BB","1","No focal subject","Unclear video","",1,1.504,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"BB","1","Broken beak","Feed","Auto-|Unknown|None",3,NA,60,957.957,55,NA,3,3.44483103103793,NA,NA
2025-07-01,"BB","1","Broken beak","Feed","Auto-|Successful|None",1,NA,60,957.957,4,NA,1,0.250533165893667,NA,NA
2025-07-01,"BB","1","Broken beak","Foraging","",1,60,60,957.957,48,935.437,NA,NA,100,97.6491637933644
2025-07-01,"BB","1","Other crow #1","Feed","Auto-|Unknown|None",1,NA,13.04,861.319,42,NA,4.60122699386503,2.92574528136498,NA,NA
2025-07-01,"BB","1","Other crow #1","Foraging","",1,13.04,13.04,861.319,35,813.479,NA,NA,100,94.4457280055357
2025-07-01,"BB","2","No focal subject","Close proximity","Mutual|Mutual",1,11.92,NA,NA,12,246.439,NA,NA,NA,NA
2025-07-01,"BB","2","No focal subject","Unclear video","",2,7.8,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"BB","2","Broken beak","Feed","Auto-|Unknown|None",9,NA,56.078,957.957,55,NA,9.62944470202218,3.44483103103793,NA,NA
2025-07-01,"BB","2","Broken beak","Foraging","",3,56.078,56.078,957.957,48,935.437,NA,NA,100,97.6491637933644
2025-07-01,"BB","2","Other crow #1","Feed","Auto-|Successful|None",1,NA,11.92,861.319,20,NA,5.03355704697987,1.39321203874523,NA,NA
2025-07-01,"BB","2","Other crow #1","Feed","Auto-|Unknown|None",1,NA,11.92,861.319,42,NA,5.03355704697987,2.92574528136498,NA,NA
2025-07-01,"BB","2","Other crow #1","Foraging","",1,11.92,11.92,861.319,35,813.479,NA,NA,100,94.4457280055357
2025-07-01,"BB","3","No focal subject","Close proximity","Other crow #1|Broken beak",4,143.959,NA,NA,4,143.959,NA,NA,NA,NA
2025-07-01,"BB","3","No focal subject","Close proximity","Broken beak|Other crow #1",1,29.8,NA,NA,2,42.84,NA,NA,NA,NA
2025-07-01,"BB","3","No focal subject","Close proximity","Mutual|Mutual",1,7.64,NA,NA,12,246.439,NA,NA,NA,NA
2025-07-01,"BB","3","No focal subject","Unclear video","",22,127.579,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"BB","3","Broken beak","Brief flight","",1,4.6,571.88,957.957,1,4.6,NA,NA,0.804364552003917,0.480188567962863
2025-07-01,"BB","3","Broken beak","Alert","",2,8.88,571.88,957.957,3,17.92,NA,NA,1.55277330908582,1.87064763867272
2025-07-01,"BB","3","Broken beak","Feed","Auto-|Unknown|None",31,NA,571.88,957.957,55,NA,3.25243057984193,3.44483103103793,NA,NA
2025-07-01,"BB","3","Broken beak","Feed","Auto-|Successful|None",2,NA,571.88,957.957,4,NA,0.209834230957544,0.250533165893667,NA,NA
2025-07-01,"BB","3","Broken beak","Foraging","",25,558.4,571.88,957.957,48,935.437,NA,NA,97.6428621389103,97.6491637933644
2025-07-01,"BB","3","Broken beak","Open mouth","",1,NA,571.88,957.957,1,NA,0.104917115478772,0.0626332914734169,NA,NA
2025-07-01,"BB","3","Other crow #1","Alert","",1,0.24,103.2,861.319,2,5.4,NA,NA,0.232558139534884,0.626945417435352
2025-07-01,"BB","3","Other crow #1","Feed","Auto-|Unknown|None",10,NA,103.2,861.319,42,NA,5.81395348837209,2.92574528136498,NA,NA
2025-07-01,"BB","3","Other crow #1","Foraging","",9,102.96,103.2,861.319,35,813.479,NA,NA,99.7674418604651,94.4457280055357
2025-07-01,"BB","3","Other crow #2","Feed","Auto-|Unknown|None",4,NA,63.4,249.56,13,NA,3.78548895899054,3.12550088155153,NA,NA
2025-07-01,"BB","3","Other crow #2","Foraging","",2,63.4,63.4,249.56,5,237.96,NA,NA,100,95.3518192017952
2025-07-01,"BB","4","No focal subject","Unclear video","",3,34.742,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"BB","4","Broken beak","Alert","",1,9.04,57.48,957.957,3,17.92,NA,NA,15.7272094641614,1.87064763867272
2025-07-01,"BB","4","Broken beak","Feed","Auto-|Unknown|None",2,NA,57.48,957.957,55,NA,2.08768267223382,3.44483103103793,NA,NA
2025-07-01,"BB","4","Broken beak","Foraging","",3,48.44,57.48,957.957,48,935.437,NA,NA,84.2727905358386,97.6491637933644
2025-07-01,"C","1","No focal subject","Unclear video","",1,1.52,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"C","1","Other crow #1","Feed","Auto-|Successful|None",9,NA,73.28,861.319,20,NA,7.36899563318777,1.39321203874523,NA,NA
2025-07-01,"C","1","Other crow #1","Feed","Auto-|Unknown|None",6,NA,73.28,861.319,42,NA,4.91266375545852,2.92574528136498,NA,NA
2025-07-01,"C","1","Other crow #1","Foraging","",1,73.28,73.28,861.319,35,813.479,NA,NA,100,94.4457280055357
2025-07-01,"C","2","No focal subject","Close proximity","Mutual|Mutual",2,35.559,NA,NA,12,246.439,NA,NA,NA,NA
2025-07-01,"C","2","No focal subject","Unclear video","",2,2.36,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"C","2","Broken beak","Feed","Auto-|Unknown|None",5,NA,26.92,957.957,55,NA,11.1441307578009,3.44483103103793,NA,NA
2025-07-01,"C","2","Broken beak","Foraging","",4,26.92,26.92,957.957,48,935.437,NA,NA,100,97.6491637933644
2025-07-01,"C","2","Other crow #1","Feed","Auto-|Unknown|None",3,NA,35.56,861.319,42,NA,5.06186726659168,2.92574528136498,NA,NA
2025-07-01,"C","2","Other crow #1","Foraging","",2,35.56,35.56,861.319,35,813.479,NA,NA,100,94.4457280055357
2025-07-01,"C","2","Other crow #2","Resting","",1,11.6,11.6,249.56,1,11.6,NA,NA,100,4.64818079820484
2025-07-01,"C","3","No focal subject","Close proximity","Mutual|Mutual",1,25.84,NA,NA,12,246.439,NA,NA,NA,NA
2025-07-01,"C","3","No focal subject","Unclear video","",1,1.92,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"C","3","Broken beak","Feed","Auto-|Unknown|None",2,NA,28.8,957.957,55,NA,4.16666666666667,3.44483103103793,NA,NA
2025-07-01,"C","3","Broken beak","Foraging","",1,28.8,28.8,957.957,48,935.437,NA,NA,100,97.6491637933644
2025-07-01,"C","3","Other crow #1","Feed","Auto-|Unknown|None",5,NA,25.84,861.319,42,NA,11.609907120743,2.92574528136498,NA,NA
2025-07-01,"C","3","Other crow #1","Foraging","",1,25.84,25.84,861.319,35,813.479,NA,NA,100,94.4457280055357
2025-07-01,"C","4","No focal subject","Unclear video","",2,0.24,NA,NA,52,269.411,NA,NA,NA,NA
2025-07-01,"C","4","Other crow #2","Feed","Auto-|Unknown|None",2,NA,69.76,249.56,13,NA,1.72018348623853,3.12550088155153,NA,NA
