Date,Session_length
5/5/2025,
5/14/2025,4380
5/15/2025,4080
5/23/2025,4500
5/30/2025,5520
6/10/2025,4320
6/13/2025,2760
6/19/2025,3480
6/20/2025,4620
6/27/2025,3900
7/1/2025,4200
7/10/2025,3600
7/11/2025,3600
7/15/2025,3600
7/17/2025,3600
7/22/2025,3600
7/24/2025,3600
7/29/2025,3780
7/30/2025,3600
8/12/2025,3600
8/14/2025,3600
8/21/2025,3600
8/27/2025,3600
8/28/2025,3600
8/29/2025,3600
9/2/2025,3600
9/10/2025,3600
9/15/2025,4500
9/16/2025,3600
9/19/2025,3600
9/25/2025,3600
9/26/2025,3600
10/9/2025,3660
10/10/2025,3720
10/17/2025,3600
10/24/2025,3600
10/27/2025,3600
10/30/2025,3600
10/31/2025,3600
11/4/2025,900
11/6/2025,3540
11/11/2025,2580
11/19/2025,3600
11/20/2025,3600
