Observation id,Observation date,Description,Temperature,Humidity,Wind,Weather,Ground softness,Ladder trap,Primary location,Time budget start,Time budget stop,Time budget duration,Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,No focal subject,Close proximity,Mutual|Mutual,1,62.8,62.8,NA,NA,NA,99.9
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Broken beak,Preen,Auto-,1,59.56,59.56,NA,NA,NA,94.7
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Broken beak,Preen,Auto-,1,59.56,59.56,NA,NA,NA,94.7
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Broken beak,Preen,Auto-,1,59.56,59.56,NA,NA,NA,94.7
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Broken beak,Preen,Auto-,1,59.56,59.56,NA,NA,NA,94.7
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Other crow #1,Preen,Auto-,1,2.12,2.12,NA,NA,NA,3.4
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Other crow #1,Preen,Auto-,1,2.12,2.12,NA,NA,NA,3.4
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Other crow #1,Alert,Other crow #1,1,3.56,3.56,NA,NA,NA,5.7
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Other crow #1,Alert,Other crow #1,1,3.56,3.56,NA,NA,NA,5.7
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Other crow #1,Resting,Other crow #1,1,52.52,52.52,NA,NA,NA,83.5
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Other crow #1,Preen,Auto-,1,2.12,2.12,NA,NA,NA,3.4
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Other crow #1,Preen,Auto-,1,2.12,2.12,NA,NA,NA,3.4
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Other crow #1,Alert,Other crow #1,1,3.56,3.56,NA,NA,NA,5.7
13-6-25 BB #1,2026-01-0212:54:14.440,,68,68,15,(no record),(no record),no,tree,0.000,62.880,62.880,Other crow #1,Alert,Other crow #1,1,3.56,3.56,NA,NA,NA,5.7
